hotel_id,hotel_name,description,review,score,price,country,city,location,image,amenities
1,Riad Les Terrasses de Jemaa Elfna & Spa,"Bénéficiant d'un emplacement privilégié à Marrakech, le Riad Les Terrasses de Jemaa Elfna & Spa propose des chambres climatisées, une piscine extérieure et une terrasse. Il se trouve à 1,9 km du musée orientaliste de Marrakech, à 2,1 km de la mosquée Koutoubia et à 2,6 km du souk de la médina. Des chambres familiales sont disponibles dans ce riad.Tous les logements comprennent une terrasse Offrant une vue sur la piscine, les chambres du Riad Les Terrasses de Jemaa Elfna & Spa comprennent une salle de bains privative pourvue d'une douche et d'un sèche-cheveux.Un petit-déjeuner continental est servi tous les matins sur place.Parmi les lieux d'intérêt à proximité du Riad Les Terrasses de Jemaa Elfna & Spa vous trouverez la place Jemaa El-Fna, le palais de la Bahia et le musée Boucharouite. L’aéroport de Marrakech-Ménara est le plus proche, à 5 km du riad, et un service de navette aéroport est organisé moyennant un supplément.C'est le quartier préféré des voyageurs visitant Marrakech, selon les commentaires clients indépendants.Nous parlons votre langue !",3,8.7,1123,Maroc,Marrakech,"78 rue Sakia el Hamra, 40000 Marrakech, Maroc",1.jpg,1 piscine | Navette aéroport | Chambres familiales | Chambres non-fumeurs | Terrasse
2,Riad Elite,"Situé à Marrakech, à 2,4 km du palais de la Bahia, le Riad Elite propose des chambres climatisées et un salon commun. Il propose des chambres familiales et une terrasse. La réception est ouverte 24h/24. Des services d'étage et de change sont assurés.Les chambres de ce riad possèdent un balcon. Toutes les chambres du Riad Elite comprennent une terrasse, une salle de bains privative et une télévision.Un petit-déjeuner continental est servi sur place.Vous séjournerez à 2,9 km de la mosquée Koutoubia et à 3,3 km de la place Jemaa el-Fna. L'aéroport le plus proche, celui de Marrakech-Ménara, est situé à 4 km. Un service de navette aéroport peut être assuré moyennant des frais supplémentaires.C'est le quartier préféré des voyageurs visitant Marrakech, selon les commentaires clients indépendants.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour en solo.Nous parlons votre langue !",107,8.3,481,Maroc,Marrakech,"33 Derb Shbanat, Kasbah Medina, Kasbah, 40000 Marrakech, Maroc",2.jpg,Navette aéroport | Chambres familiales | Chambres non-fumeurs | Petit-déjeuner fabuleux | Connexion Wi-Fi gratuite | Service d'étage
3,Le Caspien Boutique Hotel,"Situé à Marrakech, Le Caspien Boutique hotel propose 2 restaurants et un bar à ciel ouvert. Vous bénéficierez gratuitement d’une connexion Wi-Fi.Dotées d’un balcon, les chambres sont équipées de la climatisation et d’une télévision par satellite. Elles comprennent une salle de bains privative pourvue d’une baignoire ou d’une douche. Vous profiterez d’une vue sur la piscine depuis votre hébergement.Le Caspien Boutique hotel met à votre disposition une réception ouverte 24h/24, une terrasse et un bureau d’excursions.Cet hôtel se trouve à 1,1 km de la gare de Marrakech, à 1,4 km du palais des congrès et à 2,3 km de la médina de la ville. Enfin, l’aéroport de Marrakech-Ménara est distant de 4 km.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour en solo.Nous parlons votre langue !",604,7.9,428,Maroc,Marrakech,"12, Rue Loubnane Gueliz, Guéliz, 40000 Marrakech, Maroc",3.jpg,Navette aéroport | Chambres familiales | Chambres non-fumeurs | Petit-déjeuner fabuleux | Connexion Wi-Fi gratuite | Service d'étage | Restaurant | Bar
4,Hôtel Racine,"Doté d'une piscine extérieure et d'une terrasse bien exposée, l'Hôtel Racine se situe à Marrakech, à 5 minutes de route de la place Jamaâ El Fna. Vous pourrez y profiter d'une salle de sport et d'une connexion Wi-Fi gratuite accessible dans l'ensemble des locaux.Toutes les chambres sont équipées d’une télévision et certaines comprennent un coin salon propice à la détente. Chacune possède une salle de bains privative pourvue d'un sèche-cheveux et d'articles de toilette gratuits.Vous pourrez déguster une cuisine internationale au restaurant sur place.L'établissement comporte aussi un salon de coiffure, un hammam et un spa et centre de bien-être.L'Hôtel Racine se trouve à 5 minutes à pied du centre commercial Marrakech Plaza et à 10 minutes à pied du centre commercial Carré Eden. L'aéroport de Marrakech-Ménara, le plus proche, est à 4 km.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour en solo.Nous parlons votre langue !",4301,8.5,406,Maroc,Marrakech,"Angle avenue Oum Rabiaa et rue Ibn Atia - Guéliz, 40000 Marrakech, Maroc",4.jpg,1 piscine | Navette aéroport | Spa et centre de bien-être | Chambres non-fumeurs | Restaurant |  Connexion Wi-Fi gratuite |  Service d'étage
5,Riad Adriana,"Le Riad Adriana bénéficie d'un emplacement exceptionnel dans la médina de Marrakech, dans le quartier de Bab Doukkala, à quelques minutes de la célèbre place Jamaâ El Fna et des souks.Toutes les chambres et les suites du Riad Adriana sont décorées dans des teintes naturelles qui créent une atmosphère paisible. Elles sont équipées de la climatisation et certaines possèdent une cheminée.Le Riad Adriana assure un service d'étage sur demande préalable, spécialisé dans la cuisine marocaine.La connexion Wi-Fi est gratuite. Le Riad Adriana est partenaire d'un centre de bien-être proposant des massages, un hammam et un spa.C'est le quartier préféré des voyageurs visitant Marrakech, selon les commentaires clients indépendants.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour en solo.Nous parlons votre langue !",511,9.4,428,Maroc,Marrakech,"99, Derb Jdid Bab Doukkala, Médina, 40000 Marrakech, Maroc ",5.jpg,1 piscine | Navette aéroport | Chambres non-fumeurs | Restaurant |  Connexion Wi-Fi gratuite |  Service d'étage | Bar |  Petit-déjeuner fabuleux
6,Moroccan House,"Le Moroccan House vous garantit un accueil chaleureux et un séjour relaxant.Le Moroccan House propose 5 étages et 50 chambres présentant différents niveaux de confort. Certaines sont adaptées aux personnes à mobilité réduite. La terrasse panoramique offre une vue imprenable sur la ville.Après une nuit reposante et pour bien commencer la journée, vous pourrez déguster un copieux petit-déjeuner buffet marocain composé de plus de 30 plats. Vous pourriez également être invité(e) à aider à préparer quelques plats traditionnels succulents. Des repas sans gluten peuvent être demandés.Pour vos loisirs, l'établissement met à votre disposition un hammam marocain, une piscine avec bassin pour enfants et 2 salles de jeux.Situé en plein centre-ville, le Moroccan House Hotel constitue aussi un excellent pied-à-terre pour partir à la découverte des trésors de Marrakech et des sites d'intérêt comme la médina et le marché central.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,5 pour un séjour en solo.Nous parlons votre langue !",349,7.5,294,Maroc,Marrakech,"3 Rue Loubnane Gueliz, Guéliz, 40000 Marrakech, Maroc",6.jpg,1 piscine | Parking privé |  Équipements pour les personnes handicapées | Restaurant |  Connexion Wi-Fi gratuite | Petit-déjeuner
7,Hotel Almas,"Situé dans le centre de Marrakech, cet hôtel associe le style marocain traditionnel à une décoration contemporaine. Il possède une terrasse donnant sur le quartier de Gueliz et propose une connexion Wi-Fi gratuite.Les chambres climatisées de l'hôtel Almas disposent d'un mobilier ancien. Elles sont dotées d'une salle de bains privative et d'une télévision par câble à écran plat.Vous dégusterez chaque matin un petit-déjeuner buffet. La réception de l'hôtel Almas vous accueille 24h/24.L'hôtel se trouve à 550 mètres de la gare de Marrakech et à 15 minutes de route de l'aéroport international de Marrakech Menara.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,7 pour un séjour en solo.Nous parlons votre langue !",2399,8.1,400,Maroc,Marrakech,"79 Boulevard Moulay Rachid Gueliz Marrakech, Guéliz, 40000 Marrakech, Maroc",7.jpg,1 piscine | Navette aéroport | Chambres non-fumeurs | Service d'étage | Parking privé | Restaurant | Connexion Wi-Fi gratuite | Petit-déjeuner
8,Hotel Lawrence d'Arabie,"Situé à seulement 20 minutes à pied de la place Jemaa el-Fna et à 1,5 km du célèbre jardin Majorelle, l'Hotel Lawrence d'Arabie est décoré dans un style marocain traditionnel marocain. Il dispose d'une piscine extérieure et d'un café avec terrasse.Offrant une vue sur la rue ou la piscine, toutes les suites comprennent un coin salon, une télévision par satellite et un coffre-fort. Leur salle de bains privative est pourvue d'un sèche-cheveux et d'articles de toilette gratuits.Un petit-déjeuner continental peut être servi en chambre ou sur la terrasse. Vous pourrez également déguster une cuisine internationale ou marocaine au restaurant et prendre un verre au bar.L'établissement propose également une connexion Wi-Fi gratuite, un jardin, un coffre-fort et un parking privé gratuit sur place. L'Hotel Lawrence d'Arabie se trouve à 2 km du palais de la Bahia et à 15 minutes de route de l'aéroport de Marrakech-Ménara.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour en solo.Nous parlons votre langue !",2410,7.7,381,Maroc,Marrakech,"N 1 Angle Abou Baker Seddik et Omar Ben Khattab Hivernage, L’Hivernage, 40000 Marrakech, Maroc",8.jpg,1 piscine | Navette aéroport | Spa et centre de bien-être | Chambres non-fumeurs | Service d'étage | Parking gratuit | Restaurant | Bon petit-déjeuner
9,Hotel Palais Al Bahja,"Doté d'un restaurant, l'Hotel Palais Al Bahja vous accueille à Marrakech, à 15 minutes en voiture de la place Jemaa el-Fna et du palais de Bahia. Une connexion Wi-Fi est disponible gratuitement.Les chambres climatisées possèdent un minibar et une télévision par satellite à écran plat. Leur salle de bains privative est pourvue de serviettes de toilette ainsi que d'une baignoire ou d'une douche. Certains hébergements offrent une vue sur les montagnes.L'Hotel Palais Al Bahja comporte un jardin.Le palais des Congrès se trouve à 5 km et le jardin Majorelle à 3,2 km. L'aéroport de Marrakech-Ménara vous attend quant à lui à 8 km.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,1 pour un séjour en solo.Nous parlons votre langue !",616,7.9,356,Maroc,Marrakech,"33, Rue IBN AL QADI, Hivernage , L’Hivernage, 40020 Marrakech, Maroc ",9.jpg,Navette aéroport | Spa et centre de bien-être | Chambres non-fumeurs | Service d'étage | Restaurant | Connexion Wi-Fi gratuite | Petit-déjeuner
10,Blue Sea Le Printemps ,"Doté d'une piscine extérieure et d'un restaurant, le Blue Sea Le Printemps vous accueille à Marrakech. Il vous propose une connexion Wi-Fi gratuite.Toutes les chambres climatisées disposent d'un minibar.Le Blue Sea Le Printemps possède une réception ouverte 24h/24, un snack bar. un salon commun et une bagagerie. Un parking est en outre disponible gratuitement sur place.L'hôtel est implanté à 3,5 km de la place Marrakech Plaza et à 700 mètres de la gare de Marrakech. L'aéroport de Marrakech-Ménara se trouve à 7 km.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,4 pour un séjour en solo.Nous parlons votre langue !",1967,7.6,449,Maroc,Marrakech,"19 Boulevard Mansour Eddahbi , Guéliz, 40000 Marrakech, Maroc",10.jpg,1 piscine | Navette aéroport | Chambres non-fumeurs | Service d'étage | Parking gratuit | Équipements pour les personnes handicapées | Restaurant | Bar | Petit-déjeuner
11,Hotel Gomassine,"Doté d'une piscine extérieure, l'Hotel Gomassine est situé à Marrakech. L'hôtel se trouve à 3 km du Bahia Palace, à 2 km du Conference Palace et à 1 km du jardin Majorelle. Une connexion Wi-Fi est disponible gratuitement dans tout l'établissement.Les chambres disposent d'une télévision par satellite à écran plat, de la climatisation et d'un minibar. Tous les logements comprennent un coin salon. Leur salle de bains privative est pourvue d'une baignoire et d'un sèche-cheveux.L'Hotel Gomassine propose chaque matin des petits-déjeuners continentaux et marocains. Vous pourrez déguster des plats locaux et internationaux au restaurant de l'établissement.À l'Hotel Gomassine, vous trouverez une réception ouverte 24h/24 et une terrasse. Un parking privé est à votre disposition gratuitement sur place.L'aéroport international de Marrakech-Menara se situe à 7 km. Un service de navette peut être organisé sur demande.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 8,8 pour un séjour en solo.Nous parlons votre langue !",232,8.0,375,Maroc,Marrakech,"71, Av. Mohamed Zerktouni, Guéliz, Guéliz, 40 000 Marrakech, Maroc",11.jpg,2 piscines | Navette aéroport | Chambres non-fumeurs | Service d'étage | Parking gratuit Restaurant | Connexion Wi-Fi gratuite | Petit-déjeuner
12,LE VOYAGEUR MARRAKECH,"Situé à Marrakech, à 8 km du musée Yves Saint Laurent, l'établissement LE VOYAGEUR MARRAKECH propose un restaurant, un parking privé gratuit, un jardin et une terrasse. Équipées d'une télévision par câble à écran plat, toutes les chambres comprennent une salle de bains privative. La réception est ouverte 24h/24 et la connexion Wi-Fi est gratuite dans l’ensemble de l’établissement.Toutes les chambres de ce motel comprennent un balcon.Un petit-déjeuner continental et à la carte est servi chaque matin.Vous séjournerez à 8 km du jardin Majorelle et à 10 km de la place Jemaa el-Fna. Un service de navette desservant l’aéroport de Marrakech-Ménara, accessible à 10 km est assuré moyennant des frais supplémentaires.Nous parlons votre langue !",544,8.5,250,Maroc,Marrakech,"Rond Point Azzouzia-Station Service Petromine , 40000 Marrakech, Maroc",12.jpg,Navette aéroport | Chambres non-fumeurs | Parking gratuit | Restaurant | Connexion Wi-Fi gratuite | Bon petit-déjeune
13,Riad Lamzia,"Le Riad Lamzia est situé à Marrakech, à 300 mètres du palais de la Bahia. Bénéficiant d'un emplacement idéal dans le quartier de la Médina, ce riad se trouve à 5 minutes à pied de la place Jemaa el-Fna. Offrant une vue sur la montagne, l'établissement dispose d'une terrasse et d'une réception ouverte 24h/24.Toutes les chambres comprennent une armoire, une télévision à écran plat et la climatisation, tandis que certaines comportent une terrasse. Chaque salle de bains privative est pourvue d'une douche et d'articles de toilette offerts.Une connexion Wi-Fi est disponible gratuitement dans l'ensemble des locaux.Un petit-déjeuner continental est servi chaque matin. Vous pourrez savourer une variété de plats marocains dans le restaurant sur place.Le stade de Marrakech, le palais El Badii et le centre commercial Carre Eden vous attendent à proximité. Enfin, l'aéroport de Marrakech-Ménara est implanté à 5 km du Riad Lamzia.C'est le quartier préféré des voyageurs visitant Marrakech, selon les commentaires clients indépendants.Les voyageurs individuels apprécient particulièrement l'emplacement de cet établissement. Ils lui donnent la note de 9,7 pour un séjour en solo.Nous parlons votre langue !",340,9.2,279,Maroc,Marrakech,"Derb Hajra 11 derb dabachi, Médina, 40000 Marrakech, Maroc",13.jpg,1 piscine | Navette aéroport | Chambres non-fumeurs | Restaurant | Connexion Wi-Fi gratuite | Superbe petit-déjeuner
